cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,accuracy,precision,recall,f1_score,strategy,date
-0.2811111495814047,-0.28205582000013907,-0.4716173009269887,-0.4052409821339902,0.44621513944223107,251,0.5338645418326693,0.0,0.0,0.0,rolling,2011-01
-0.2811111495814047,-0.28205582000013907,-0.4716173009269887,-0.4052409821339902,0.44621513944223107,251,0.5338645418326693,0.0,0.0,0.0,expanding,2011-01
-0.43698300986245897,-0.4395644542148025,-1.5606039607572852,-0.4521435593898329,0.448,250,0.564,0.0,0.0,0.0,rolling,2012-01
-0.43698300986245897,-0.4395644542148025,-1.5606039607572852,-0.4521435593898329,0.448,250,0.564,0.0,0.0,0.0,expanding,2012-01
-0.24184559378137882,-0.24184559378137882,-1.0124363463566675,-0.30455704925107174,0.4365079365079365,252,0.5158730158730159,1.0,0.024,0.046875,rolling,2013-01
-0.21797103383254846,-0.21797103383254846,-0.8848776155224063,-0.29367912646659405,0.44841269841269843,252,0.5198412698412699,0.8333333333333334,0.04,0.07633587786259542,expanding,2013-01
0.0028368794326236735,0.0028368794326236735,0.1154292135184969,-0.20462218965111184,0.45634920634920634,252,0.4523809523809524,0.4523809523809524,1.0,0.6229508196721312,rolling,2014-01
-0.5548614963926102,-0.5548614963926102,-3.9823621993815363,-0.5949343393180934,0.3253968253968254,252,0.5317460317460317,0.46153846153846156,0.21052631578947367,0.2891566265060241,expanding,2014-01
-0.1680801280547185,-0.1680801280547185,-0.9218919724168759,-0.22418186937493717,0.44841269841269843,252,0.5079365079365079,0.0,0.0,0.0,rolling,2015-01
-0.45351367087988526,-0.45351367087988526,-3.298615819701806,-0.49333902824517506,0.3968253968253968,252,0.5238095238095238,0.5555555555555556,0.16129032258064516,0.25,expanding,2015-01
-0.3547445508211283,-0.3547445508211283,-2.1421159102063125,-0.39187450682437835,0.3968253968253968,252,0.5436507936507936,0.5901639344262295,0.2857142857142857,0.3850267379679144,rolling,2016-01
-0.341793746398542,-0.341793746398542,-2.039045903617617,-0.37974742529449096,0.38095238095238093,252,0.5,0.5,0.10317460317460317,0.17105263157894737,expanding,2016-01
-0.29339638633350595,-0.33188783570940183,-1.7985885705506863,-0.35300204092340043,0.42857142857142855,217,0.4792626728110599,0.4,0.07339449541284404,0.12403100775193798,rolling,2017-01
-0.5107406756556521,-0.5640217996701339,-3.9060184150958013,-0.5114788827458127,0.37327188940092165,217,0.5345622119815668,0.6111111111111112,0.2018348623853211,0.30344827586206896,expanding,2017-01
