cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
1.1843677950098286,1.1843677950098286,1.6404789074411454,-0.28221901729135307,0.5476190476190477,252,rolling,2011-01
1.2473465326504778,1.2473465326504778,1.6903701988754427,-0.2822190172913529,0.5515873015873016,252,expanding,2011-01
-0.7141278984024276,-0.7169773789569983,-3.059427228106367,-0.7014938250151298,0.424,250,rolling,2012-01
-0.0027463619203734746,-0.002768302376705778,0.19054656322856414,-0.39720062900579367,0.512,250,expanding,2012-01
-0.2968394440377172,-0.2968394440377172,-1.38052189547058,-0.3325077556934349,0.4523809523809524,252,rolling,2013-01
0.011006785054322288,0.011006785054322288,0.16444794217347825,-0.13083116644072418,0.4722222222222222,252,expanding,2013-01
-0.12067200696938674,-0.12067200696938674,-0.4865764618271108,-0.19396724194207546,0.45634920634920634,252,rolling,2014-01
0.21493583573670727,0.21493583573670727,1.01023123672387,-0.1412204075729091,0.5079365079365079,252,expanding,2014-01
-0.4615862569352598,-0.4615862569352598,-2.3144982565648107,-0.5022761513639907,0.43253968253968256,252,rolling,2015-01
-0.4783545152591582,-0.4783545152591582,-2.4426158886574356,-0.5064735495855791,0.43253968253968256,252,expanding,2015-01
-0.8838206336142581,-0.8838206336142581,-7.156148973317459,-0.8815267794898007,0.3253968253968254,252,rolling,2016-01
-0.5394173089299952,-0.5394173089299952,-2.2681030793785966,-0.586080287123902,0.4801587301587302,252,expanding,2016-01
0.21241246738981223,0.2506690211873175,1.136274652917807,-0.12539544447959539,0.4700460829493088,217,rolling,2017-01
-0.34970401458885525,-0.39330879723054035,-2.198233299249798,-0.3691612284210372,0.4930875576036866,217,expanding,2017-01
