cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,accuracy,precision,recall,f1_score,strategy,date
-0.2622354942762781,-0.2622354942762781,-0.5718716062055197,-0.39507827280417335,0.4523809523809524,252,0.5158730158730159,0.452991452991453,0.4774774774774775,0.4649122807017544,rolling,2011-01
-0.3753203328254866,-0.3753203328254866,-0.9892695190942495,-0.4930647780058863,0.44047619047619047,252,0.4722222222222222,0.445,0.8018018018018018,0.572347266881029,expanding,2011-01
-0.2759882705062624,-0.2778563995354252,-1.1550872305622026,-0.40110294290173953,0.452,250,0.488,0.4930555555555556,0.5634920634920635,0.5259259259259259,rolling,2012-01
-0.2692511521565475,-0.2710826553908494,-1.1180419090137257,-0.5016483184483101,0.44,250,0.48,0.49122807017543857,0.8888888888888888,0.632768361581921,expanding,2012-01
-0.6198612931641356,-0.6198612931641356,-4.05372190512853,-0.6306164908086878,0.39285714285714285,252,0.5,0.5178571428571429,0.4461538461538462,0.4793388429752066,rolling,2013-01
-0.8388675325278533,-0.8388675325278533,-8.53705147185452,-0.8458015511511545,0.29365079365079366,252,0.5277777777777778,0.5433070866141733,0.5307692307692308,0.5369649805447471,expanding,2013-01
-0.37326383212239134,-0.37326383212239134,-2.1542945350844978,-0.43580953205859047,0.44047619047619047,252,0.503968253968254,0.5204081632653061,0.3953488372093023,0.44933920704845814,rolling,2014-01
0.4902517817564569,0.4902517817564569,2.032275798255915,-0.0939236729586484,0.49603174603174605,252,0.48412698412698413,0.47058823529411764,0.06201550387596899,0.1095890410958904,expanding,2014-01
-0.39812221498099276,-0.39812221498099276,-2.212269187906535,-0.4151838503216112,0.4007936507936508,252,0.44841269841269843,0.44329896907216493,0.7350427350427351,0.5530546623794212,rolling,2015-01
-0.7014202746767868,-0.7014202746767868,-5.704448418061355,-0.704296601028605,0.3888888888888889,252,0.5396825396825397,0.5061728395061729,0.3504273504273504,0.41414141414141414,expanding,2015-01
-0.5063139906260086,-0.5063139906260086,-2.628615542623162,-0.510513068766153,0.45634920634920634,252,0.5396825396825397,0.5240174672489083,0.9448818897637795,0.6741573033707865,rolling,2016-01
-0.5307106005231287,-0.5307106005231287,-2.834331184593665,-0.55973938822917,0.45634920634920634,252,0.49206349206349204,0.4943820224719101,0.3464566929133858,0.4074074074074074,expanding,2016-01
-0.5482225433842167,-0.6025639787206158,-5.151509083884382,-0.5334972302740055,0.3317972350230415,217,0.4608294930875576,0.46464646464646464,0.41818181818181815,0.44019138755980863,rolling,2017-01
-0.4249417500541981,-0.4740364073173612,-3.463699882554612,-0.4032973636026685,0.39631336405529954,217,0.47465437788018433,0.47368421052631576,0.32727272727272727,0.3870967741935484,expanding,2017-01
