cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
-0.3321202172432163,-0.3321202172432163,-0.4040962027638986,-0.5356871830243436,0.503968253968254,252,rolling,2011-01
-0.3321202172432163,-0.3321202172432163,-0.4040962027638986,-0.5356871830243436,0.503968253968254,252,expanding,2011-01
-0.6004214127288205,-0.6033430896499602,-2.1676691713944476,-0.5827620987651114,0.448,250,rolling,2012-01
-0.5833706638207775,-0.586278733494087,-2.0579400556138197,-0.5649577946419608,0.452,250,expanding,2012-01
0.14803574491737193,0.14803574491737193,0.704003170248334,-0.1378422578174328,0.5119047619047619,252,rolling,2013-01
0.6931342627205836,0.6931342627205836,2.3767923876309376,-0.12155278692780158,0.5198412698412699,252,expanding,2013-01
-0.6752400640138629,-0.6752400640138629,-5.378200617213502,-0.6682577423632541,0.35714285714285715,252,rolling,2014-01
-0.6607324678807246,-0.6607324678807246,-5.142695580612911,-0.6503557476388537,0.35714285714285715,252,expanding,2014-01
-0.58326277454458,-0.58326277454458,-3.363985342240374,-0.6147571298182424,0.4087301587301587,252,rolling,2015-01
-0.5777986845443004,-0.5777986845443004,-3.3099221508068215,-0.590237813167298,0.4126984126984127,252,expanding,2015-01
0.33363852774217184,0.33363852774217184,1.0578251039409443,-0.32076533483398995,0.5515873015873016,252,rolling,2016-01
-0.4293941618724433,-0.4293941618724433,-1.5877735688709218,-0.5383426815942826,0.5119047619047619,252,expanding,2016-01
0.21241246738981223,0.2506690211873175,1.136274652917807,-0.12539544447959539,0.4700460829493088,217,rolling,2017-01
-0.5663370028837013,-0.6210092981006161,-4.5008157055504325,-0.588982024597062,0.4377880184331797,217,expanding,2017-01
