cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
0.7889779451612438,0.7889779451612438,2.07501740800338,-0.14859580686066742,0.5158730158730159,252,rolling,2011-01
0.7889779451612438,0.7889779451612438,2.07501740800338,-0.14859580686066742,0.5158730158730159,252,expanding,2011-01
-0.44601205092855745,-0.4486234138315811,-3.151833619078899,-0.4544570107246005,0.416,250,rolling,2012-01
-0.5620401083203234,-0.5649233114265992,-4.53296624727153,-0.5779095622660024,0.364,250,expanding,2012-01
0.8116947511719173,0.8116947511719173,3.6817403301799385,-0.0411448190480288,0.5753968253968254,252,rolling,2013-01
-0.08552643061753284,-0.08552643061753284,-0.44211193942756605,-0.1523658467619642,0.4801587301587302,252,expanding,2013-01
-0.07401858936501482,-0.07401858936501482,-0.43336996728965643,-0.17064719051817331,0.49206349206349204,252,rolling,2014-01
-0.3585394570970324,-0.3585394570970324,-2.9108852816825657,-0.4458900881911309,0.38492063492063494,252,expanding,2014-01
0.1704679732017469,0.1704679732017469,0.8189918386421793,-0.11002816507124326,0.5277777777777778,252,rolling,2015-01
-0.20883352365420715,-0.20883352365420715,-0.9431135298931308,-0.31274968424172206,0.49603174603174605,252,expanding,2015-01
-0.15624831799668792,-0.15624831799668792,-0.9071265127936321,-0.2348528346024439,0.49206349206349204,252,rolling,2016-01
-0.2773954279454808,-0.2773954279454808,-1.8220186959853941,-0.3477482751270989,0.4801587301587302,252,expanding,2016-01
-0.17818853265735612,-0.20379339285284637,-1.1729534228916412,-0.27152671990719673,0.41935483870967744,217,rolling,2017-01
-0.06056918031795988,-0.06998884153434559,-0.31053411856006835,-0.18732086251096342,0.4930875576036866,217,expanding,2017-01
