cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,accuracy,precision,recall,f1_score,strategy,date
-0.7878368513064355,-0.7891433209118556,-3.1367313415235367,-0.7943168550573843,0.398406374501992,251,0.5577689243027888,0.5245901639344263,0.5470085470085471,0.5355648535564853,rolling,2011-01
-0.7878368513064355,-0.7891433209118556,-3.1367313415235367,-0.7943168550573843,0.398406374501992,251,0.5577689243027888,0.5245901639344263,0.5470085470085471,0.5355648535564853,expanding,2011-01
-0.29277665517586127,-0.2947338488511543,-0.8730655736043142,-0.42949520631559984,0.444,250,0.532,0.36666666666666664,0.10091743119266056,0.15827338129496402,rolling,2012-01
-0.12050026001418834,-0.12140323243927764,-0.21851838023873824,-0.3656332084761719,0.44,250,0.524,0.4342105263157895,0.30275229357798167,0.3567567567567568,expanding,2012-01
-0.7577418459961928,-0.7577418459961928,-6.080392255881771,-0.753959917962867,0.32142857142857145,252,0.5476190476190477,0.5846153846153846,0.304,0.4,rolling,2013-01
-0.4668426397743921,-0.4668426397743921,-2.480394700786595,-0.45966661899154154,0.4126984126984127,252,0.5079365079365079,0.5714285714285714,0.032,0.06060606060606061,expanding,2013-01
-0.1474956722583246,-0.1474956722583246,-0.6795761807381209,-0.2571930240783368,0.43253968253968256,252,0.5119047619047619,0.47398843930635837,0.7192982456140351,0.5714285714285714,rolling,2014-01
-0.4435721720086925,-0.4435721720086925,-2.811721734599592,-0.44516716417644714,0.376984126984127,252,0.5198412698412699,0.37037037037037035,0.08771929824561403,0.14184397163120568,expanding,2014-01
-0.23093240773386858,-0.23093240773386858,-1.3570148384867797,-0.24476600030728163,0.44047619047619047,252,0.5158730158730159,0.5625,0.07258064516129033,0.12857142857142856,rolling,2015-01
-0.288827072114502,-0.288827072114502,-1.7933530625850906,-0.3303747199042482,0.42857142857142855,252,0.5119047619047619,0.5052631578947369,0.3870967741935484,0.4383561643835616,expanding,2015-01
-0.2702715856522597,-0.2702715856522597,-1.5058117846237067,-0.3226300102400705,0.4246031746031746,252,0.5634920634920635,0.625,0.31746031746031744,0.42105263157894735,rolling,2016-01
-0.3005723678334936,-0.3005723678334936,-1.7238945156698218,-0.36589893069494484,0.4246031746031746,252,0.5515873015873016,0.5802469135802469,0.373015873015873,0.45410628019323673,expanding,2016-01
-0.31736208778727304,-0.3581302316012531,-1.9910262374323082,-0.3239211333552753,0.41935483870967744,217,0.4976958525345622,0.5,0.08256880733944955,0.14173228346456693,rolling,2017-01
-0.23799038584586507,-0.27067380238526273,-1.3804968838361653,-0.2807831805173759,0.42857142857142855,217,0.47465437788018433,0.4074074074074074,0.10091743119266056,0.16176470588235295,expanding,2017-01
