cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,accuracy,precision,recall,f1_score,strategy,date
-0.525573794220592,-0.525573794220592,-2.986323906469245,-0.5250315012156619,0.4246031746031746,252,0.47619047619047616,0.4666666666666667,0.05343511450381679,0.0958904109589041,rolling,2011-01
-0.525573794220592,-0.525573794220592,-2.986323906469245,-0.5250315012156619,0.4246031746031746,252,0.47619047619047616,0.4666666666666667,0.05343511450381679,0.0958904109589041,expanding,2011-01
-0.3545480924881693,-0.35680479259480635,-3.4486756721911025,-0.3767790648136037,0.456,250,0.48,0.425,0.13709677419354838,0.2073170731707317,rolling,2012-01
-0.21573610464355097,-0.2172592935246379,-1.8545329075559147,-0.23651512013459033,0.48,250,0.5,0.42857142857142855,0.024193548387096774,0.04580152671755725,expanding,2012-01
-0.43692104772867024,-0.43692104772867024,-3.51379235183638,-0.42856118508195984,0.4087301587301587,252,0.5079365079365079,0.5350877192982456,0.4621212121212121,0.4959349593495935,rolling,2013-01
-0.2311621389122469,-0.2311621389122469,-1.533318283201459,-0.22061669871969303,0.4523809523809524,252,0.4801587301587302,0.6666666666666666,0.015151515151515152,0.02962962962962963,expanding,2013-01
-0.0371968775533138,-0.0371968775533138,-0.15579763153387693,-0.1473273829103145,0.48412698412698413,252,0.4642857142857143,0.16666666666666666,0.015748031496062992,0.02877697841726619,rolling,2014-01
-0.4406774545375285,-0.4406774545375285,-3.630052310228261,-0.44831772690461963,0.3968253968253968,252,0.45634920634920634,0.3611111111111111,0.10236220472440945,0.15950920245398773,expanding,2014-01
-0.369353494293439,-0.369353494293439,-2.227798891744646,-0.40305737101934686,0.4642857142857143,252,0.5555555555555556,0.5714285714285714,0.23529411764705882,0.3333333333333333,rolling,2015-01
-0.1027364193124396,-0.1027364193124396,-0.44241570440834466,-0.1688509065274034,0.5198412698412699,252,0.5277777777777778,0.0,0.0,0.0,expanding,2015-01
0.00524946709510421,0.00524946709510421,0.12043760207400714,-0.18181054844251507,0.43253968253968256,252,0.45634920634920634,0.45081967213114754,0.44,0.44534412955465585,rolling,2016-01
-0.27254841575029154,-0.27254841575029154,-1.6181764528486648,-0.31934280296570744,0.42857142857142855,252,0.49206349206349204,0.47058823529411764,0.192,0.2727272727272727,expanding,2016-01
-0.3237911350991909,-0.3651449961020068,-4.08863527782664,-0.3257372198821742,0.3824884792626728,217,0.4838709677419355,0.46835443037974683,0.34579439252336447,0.3978494623655914,rolling,2017-01
-0.23528626851791767,-0.26766736718382833,-2.736589100909434,-0.25510750547510075,0.46543778801843316,217,0.5529953917050692,0.5694444444444444,0.38317757009345793,0.4581005586592179,expanding,2017-01
