cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
0.17457139569669922,0.19463476431269688,0.8003697521471638,-0.1389736477115116,0.5175438596491229,228,rolling,2011-01
0.17457139569669922,0.19463476431269688,0.8003697521471638,-0.1389736477115116,0.5175438596491229,228,expanding,2011-01
-0.7047560715097907,-0.7434167249367096,-4.645733459373894,-0.7180823231417748,0.3938053097345133,226,rolling,2012-01
-0.8177068525999305,-0.8501260258210588,-6.837782906165657,-0.8301365244380561,0.33185840707964603,226,expanding,2012-01
-0.577900282288214,-0.6145348955171918,-3.7830728906818147,-0.577900282288214,0.40350877192982454,228,rolling,2013-01
-0.5254841531145052,-0.561295742476626,-3.228545975873059,-0.5265190053443615,0.4166666666666667,228,expanding,2013-01
0.3701852383029711,0.4163712533418038,1.840510465678221,-0.11970083132460949,0.5350877192982456,228,rolling,2014-01
-0.7594869487409062,-0.7929880826613366,-8.831402373779236,-0.7693265168149576,0.27631578947368424,228,expanding,2014-01
-0.5246515674377208,-0.5604448869174308,-3.1581223932538713,-0.6085688987938296,0.43859649122807015,228,rolling,2015-01
-0.885402526754389,-0.9087693359765983,-11.414642245923428,-0.885402526754389,0.19736842105263158,228,expanding,2015-01
-0.09039271087590028,-0.09941902769618594,-0.3910064040481889,-0.2672169074169346,0.5131578947368421,228,rolling,2016-01
-0.8266941769053847,-0.8558919557324739,-11.065042308317766,-0.8266941769053847,0.2236842105263158,228,expanding,2016-01
-0.4137744381958437,-0.5020769098811506,-3.75623021265418,-0.42534532340072506,0.41968911917098445,193,rolling,2017-01
-0.7230834865897106,-0.8129855394970109,-10.783855034217321,-0.7251003103396989,0.21761658031088082,193,expanding,2017-01
