cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,accuracy,precision,recall,f1_score,strategy,date
-0.42559019123274844,-0.42559019123274844,-1.4080076824052974,-0.4793581746440333,0.4365079365079365,252,0.5119047619047619,0.5043478260869565,0.928,0.6535211267605634,rolling,2011-01
-0.21874764608001884,-0.21874764608001884,-0.5273120920024921,-0.4530672252680581,0.48412698412698413,252,0.5,0.4979757085020243,0.984,0.6612903225806451,expanding,2011-01
-0.4461284563631732,-0.4487401973152775,-2.1900090274813144,-0.44970577998632766,0.436,250,0.496,0.4861111111111111,0.28225806451612906,0.35714285714285715,rolling,2012-01
-0.7722083654609919,-0.774888297200849,-6.014721935959851,-0.7666241588173786,0.324,250,0.448,0.4520547945205479,0.532258064516129,0.4888888888888889,expanding,2012-01
-0.28701227203035795,-0.28701227203035795,-1.219439970847649,-0.32447863356293094,0.45634920634920634,252,0.5238095238095238,0.625,0.11904761904761904,0.2,rolling,2013-01
-0.6439286979023071,-0.6439286979023071,-4.097993753086079,-0.6345581418008143,0.3888888888888889,252,0.5277777777777778,0.5294117647058824,0.5,0.5142857142857142,expanding,2013-01
-0.49961132614133896,-0.49961132614133896,-4.1552456854732975,-0.5083318912565004,0.373015873015873,252,0.47619047619047616,0.509090909090909,0.21052631578947367,0.2978723404255319,rolling,2014-01
-0.4356689099712503,-0.4356689099712503,-3.380934763798767,-0.46722857173659516,0.4166666666666667,252,0.5158730158730159,0.5317919075144508,0.6917293233082706,0.6013071895424836,expanding,2014-01
-0.25508082945748034,-0.25508082945748034,-1.1528866995250697,-0.3012690260262373,0.5079365079365079,252,0.5555555555555556,0.56,0.12173913043478261,0.2,rolling,2015-01
-0.16477595087642383,-0.16477595087642383,-0.6579715755739971,-0.25948840985860905,0.5238095238095238,252,0.5555555555555556,0.56,0.12173913043478261,0.2,expanding,2015-01
-0.5695710729803678,-0.5695710729803678,-3.9103143453130813,-0.5797112947209229,0.39285714285714285,252,0.47619047619047616,0.5,0.23484848484848486,0.31958762886597936,rolling,2016-01
-0.6530402794646372,-0.6530402794646372,-5.030938986937414,-0.6517365657482536,0.376984126984127,252,0.48412698412698413,0.5104166666666666,0.3712121212121212,0.4298245614035088,expanding,2016-01
-0.29683529543899945,-0.33566237811386324,-2.624752969400917,-0.31644733683523896,0.42857142857142855,217,0.511520737327189,0.6119402985074627,0.33884297520661155,0.43617021276595747,rolling,2017-01
-0.18917091855186274,-0.21613640136655365,-1.5195482346622786,-0.20152261676125566,0.4009216589861751,217,0.45161290322580644,0.6666666666666666,0.03305785123966942,0.06299212598425197,expanding,2017-01
