cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,accuracy,precision,recall,f1_score,strategy,date
-0.22180953755632982,-0.22180953755632982,-0.9554174644482707,-0.2972510783647572,0.44841269841269843,252,0.5555555555555556,0.5345911949685535,0.6910569105691057,0.6028368794326241,rolling,2011-01
-0.22180953755632982,-0.22180953755632982,-0.9554174644482707,-0.2972510783647572,0.44841269841269843,252,0.5555555555555556,0.5345911949685535,0.6910569105691057,0.6028368794326241,expanding,2011-01
-0.0688497285851214,-0.06938096289195173,-0.24224606304858842,-0.2008859637814944,0.536,250,0.552,0.5,0.017857142857142856,0.034482758620689655,rolling,2012-01
-0.044356382034563824,-0.04470318118275318,-0.11621898542780888,-0.19835639699547844,0.508,250,0.564,0.5223880597014925,0.3125,0.39106145251396646,expanding,2012-01
-0.29745614984463475,-0.29745614984463475,-1.2912638195268216,-0.32993891006683784,0.45634920634920634,252,0.4880952380952381,0.55,0.32116788321167883,0.4055299539170507,rolling,2013-01
-0.37681921368295446,-0.37681921368295446,-1.7770449179706478,-0.40454676099128284,0.4523809523809524,252,0.4880952380952381,0.6111111111111112,0.16058394160583941,0.2543352601156069,expanding,2013-01
-0.24401951554232526,-0.24401951554232526,-1.3781934151334196,-0.32918817508332093,0.4801587301587302,252,0.4880952380952381,0.0,0.0,0.0,rolling,2014-01
-0.33258766523030037,-0.33258766523030037,-2.043755868911448,-0.4002562557175424,0.4722222222222222,252,0.5119047619047619,1.0,0.046511627906976744,0.08888888888888889,expanding,2014-01
-0.02566339270877671,-0.02566339270877671,0.049911634298077934,-0.19483292673322106,0.5079365079365079,252,0.5595238095238095,0.5875,0.376,0.4585365853658537,rolling,2015-01
0.004132672385810832,0.004132672385810832,0.1571258477822182,-0.26269580688839966,0.5158730158730159,252,0.5119047619047619,0.5131578947368421,0.312,0.3880597014925373,expanding,2015-01
-0.25651450508272444,-0.25651450508272444,-1.198964349972901,-0.31583281152326514,0.45634920634920634,252,0.49603174603174605,0.6666666666666666,0.061068702290076333,0.11188811188811189,rolling,2016-01
0.002356666985636968,0.002356666985636968,0.1235477320970864,-0.1949843911321742,0.49206349206349204,252,0.5555555555555556,0.7209302325581395,0.2366412213740458,0.3563218390804598,expanding,2016-01
-0.340169682434599,-0.3829669333022788,-3.3320274390878937,-0.34208466519741026,0.4009216589861751,217,0.4470046082949309,0.42857142857142855,0.05084745762711865,0.09090909090909091,rolling,2017-01
-0.2865359888572714,-0.3243490290800578,-2.6713629766056486,-0.2886066292126065,0.42857142857142855,217,0.45622119815668205,0.0,0.0,0.0,expanding,2017-01
