cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
-0.17921797941107698,-0.17921797941107698,-0.7270435102157855,-0.2558396441358324,0.47619047619047616,252,rolling,2011-01
-0.17921797941107698,-0.17921797941107698,-0.7270435102157855,-0.2558396441358324,0.47619047619047616,252,expanding,2011-01
0.17223613023373185,0.17372734779064114,0.8764446758467807,-0.17911482530013464,0.476,250,rolling,2012-01
0.35576341617593665,0.3590686107112,1.5902168475648495,-0.10133107185479444,0.516,250,expanding,2012-01
-0.17283524662474536,-0.17283524662474536,-0.6349726564716748,-0.32618349107554123,0.4801587301587302,252,rolling,2013-01
-0.39241696539307225,-0.39241696539307225,-1.8766465465266198,-0.4209554089836618,0.45634920634920634,252,expanding,2013-01
0.2756353558582474,0.2756353558582474,1.3781934151334196,-0.10057974309423655,0.5079365079365079,252,rolling,2014-01
-0.24401951554232526,-0.24401951554232526,-1.3781934151334196,-0.32918817508332093,0.4801587301587302,252,expanding,2014-01
-0.2471195840401782,-0.2471195840401782,-0.867188133461709,-0.3479981957146888,0.49206349206349204,252,rolling,2015-01
-0.24742865618014853,-0.24742865618014853,-0.8686536040628111,-0.34826585521099557,0.4880952380952381,252,expanding,2015-01
-0.5015792085021509,-0.5015792085021509,-3.0151677562940513,-0.5413452529623671,0.38492063492063494,252,rolling,2016-01
-0.06994721740135734,-0.06994721740135734,-0.20694223698121117,-0.1933513379960888,0.49206349206349204,252,expanding,2016-01
-0.2350735133658739,-0.2674307533491095,-2.0950532790403713,-0.35080209342753677,0.4147465437788018,217,rolling,2017-01
0.13729010797323582,0.16113510528667518,1.1061123043506929,-0.09855169307540579,0.5299539170506913,217,expanding,2017-01
