cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,accuracy,precision,recall,f1_score,strategy,date
0.07661803200442296,0.07661803200442296,0.43241880610481614,-0.17267935221315106,0.47619047619047616,252,0.4801587301587302,0.47468354430379744,0.6097560975609756,0.5338078291814946,rolling,2011-01
-0.6314705736781714,-0.6314705736781714,-4.293019275186818,-0.6538075905644065,0.40476190476190477,252,0.4801587301587302,0.478494623655914,0.7235772357723578,0.5760517799352751,expanding,2011-01
-0.09441012166714613,-0.09512828646946891,-0.3774566851247856,-0.19767013509587694,0.544,250,0.552,0.0,0.0,0.0,rolling,2012-01
0.1250540604934789,0.1261150912590685,0.6770635118091959,-0.11661314848058428,0.536,250,0.544,0.4936708860759494,0.6964285714285714,0.5777777777777777,expanding,2012-01
-0.41787856979761495,-0.41787856979761495,-2.051840750479374,-0.5195361728618042,0.46825396825396826,252,0.5198412698412699,0.5740740740740741,0.45255474452554745,0.5061224489795918,rolling,2013-01
-0.5428737840215865,-0.5428737840215865,-3.0561454299855177,-0.5503800280757738,0.39285714285714285,252,0.46825396825396826,0.5333333333333333,0.17518248175182483,0.26373626373626374,expanding,2013-01
-0.6091650604504656,-0.6091650604504656,-5.077041092496217,-0.6133569038882499,0.38492063492063494,252,0.5079365079365079,0.5609756097560976,0.17829457364341086,0.27058823529411763,rolling,2014-01
-0.32093408486536645,-0.32093408486536645,-1.950769175317672,-0.3785861388797932,0.46825396825396826,252,0.49206349206349204,0.6666666666666666,0.015503875968992248,0.030303030303030304,expanding,2014-01
-0.48956625777145546,-0.48956625777145546,-2.2692608158786305,-0.5229067101344768,0.4523809523809524,252,0.503968253968254,0.5,0.144,0.2236024844720497,rolling,2015-01
-0.7097016683154876,-0.7097016683154876,-4.410471930680589,-0.7120487656023934,0.36904761904761907,252,0.5119047619047619,0.5069444444444444,0.584,0.5427509293680297,expanding,2015-01
-0.4034645089326273,-0.4034645089326273,-2.188252831075474,-0.43195237577363865,0.4444444444444444,252,0.5079365079365079,0.6129032258064516,0.1450381679389313,0.2345679012345679,rolling,2016-01
-0.7112704070814522,-0.7112704070814522,-5.707570999505026,-0.7147578169266867,0.3531746031746032,252,0.5198412698412699,0.5384615384615384,0.5343511450381679,0.5363984674329502,expanding,2016-01
-0.24701416358689454,-0.28069395245175655,-2.2233226973329874,-0.2721580013157041,0.4147465437788018,217,0.4930875576036866,0.5222222222222223,0.7966101694915254,0.6308724832214765,rolling,2017-01
-0.30709904786040076,-0.3469101145314305,-2.9168623086790295,-0.3091100093824156,0.423963133640553,217,0.4608294930875576,1.0,0.00847457627118644,0.01680672268907563,expanding,2017-01
