cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
-0.22035837593784713,-0.24052139215392176,-0.7394976711616472,-0.30894077017462224,0.45614035087719296,228,rolling,2011-01
-0.22035837593784713,-0.24052139215392176,-0.7394976711616472,-0.30894077017462224,0.45614035087719296,228,expanding,2011-01
-0.5260084263588338,-0.5650193918842673,-4.491550193020869,-0.5371270332576987,0.3938053097345133,226,rolling,2012-01
-0.18138112425643738,-0.20001414101382886,-1.0925110495951358,-0.27145716833349626,0.4336283185840708,226,expanding,2012-01
-0.3286724318059866,-0.35625027135795684,-2.5321008290558176,-0.35738295006714227,0.37719298245614036,228,rolling,2013-01
-0.35687954824221824,-0.38607889292807285,-2.821768080839497,-0.38211143949191306,0.44298245614035087,228,expanding,2013-01
0.27543083877868657,0.3085149654339381,1.921558290885155,-0.06490523501745524,0.5482456140350878,228,rolling,2014-01
-0.3221698294641524,-0.3493549235527956,-2.9060363383296792,-0.3415542936273763,0.40789473684210525,228,expanding,2014-01
-0.34602092281585717,-0.37461202985150666,-1.9659728424361431,-0.3680143704468008,0.4298245614035088,228,rolling,2015-01
-0.44214735182483855,-0.4753890622602649,-2.766174117371125,-0.5006066007389436,0.4473684210526316,228,expanding,2015-01
-0.07485116703123751,-0.08239677302956239,-0.4618584023725681,-0.23812243743916897,0.4649122807017544,228,rolling,2016-01
-0.012347308174566307,-0.0136381233404268,-0.007025776692632898,-0.1569066354001087,0.5043859649122807,228,expanding,2016-01
-0.44713849252606697,-0.5387522015719763,-4.219580958580614,-0.45339245373634235,0.3626943005181347,193,rolling,2017-01
-0.39992219089262726,-0.4866592568989957,-3.589583989172276,-0.4071202758503845,0.37823834196891193,193,expanding,2017-01
