cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
-0.11735050663887248,-0.12887238939899492,-0.20312042134889458,-0.2477180258949556,0.43859649122807015,228,rolling,2011-01
-0.11735050663887248,-0.12887238939899492,-0.20312042134889458,-0.2477180258949556,0.43859649122807015,228,expanding,2011-01
-0.060739535311541526,-0.06748627383951078,-0.12929233283773153,-0.36220603497309567,0.4690265486725664,226,rolling,2012-01
-0.06752922988407994,-0.07499957021914794,-0.16023850796034386,-0.2963722993992705,0.47345132743362833,226,expanding,2012-01
-0.2046122855895709,-0.2235499944961672,-0.8517837716054858,-0.2408738676879306,0.4824561403508772,228,rolling,2013-01
-0.011202076960782681,-0.012373918667742068,0.08167459436321321,-0.2862093930201424,0.4692982456140351,228,expanding,2013-01
-0.16287215848325565,-0.1783921014902835,-1.069314683090766,-0.2011790314082482,0.37719298245614036,228,rolling,2014-01
0.0386904868974578,0.042849263311551145,0.33172337243935907,-0.1286032645940525,0.4868421052631579,228,expanding,2014-01
-0.12232682790976124,-0.13429912298055535,-0.5062648193862793,-0.17751298684954384,0.5043859649122807,228,rolling,2015-01
-0.24622426765667704,-0.2683215357026464,-1.236300926729171,-0.2870140219957358,0.4517543859649123,228,expanding,2015-01
-0.10577878768703708,-0.11624087345353773,-0.5066891814516237,-0.26425223982165297,0.42543859649122806,228,rolling,2016-01
-0.4649544446779532,-0.49904315578574376,-3.364079890502503,-0.5050329104240584,0.3815789473684211,228,expanding,2016-01
-0.15569264497157986,-0.19826316795476318,-1.3126348027592842,-0.1655746322842162,0.40414507772020725,193,rolling,2017-01
-0.11487211666004304,-0.14728129323053252,-0.9228356824348333,-0.13377851982429637,0.41968911917098445,193,expanding,2017-01
