cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
-0.7280189075014485,-0.7628536343703879,-2.128509612941459,-0.8047128859711248,0.4649122807017544,228,rolling,2011-01
-0.7280189075014485,-0.7628536343703879,-2.128509612941459,-0.8047128859711248,0.4649122807017544,228,expanding,2011-01
-0.7005520302263923,-0.7393395388689052,-3.385876437988206,-0.7064151598983118,0.40707964601769914,226,rolling,2012-01
-0.7004185734083377,-0.7392100006904021,-3.385150427159297,-0.7011718876675366,0.39823008849557523,226,expanding,2012-01
-0.5146040416669951,-0.5501645829240343,-3.457301533856091,-0.5581431576714835,0.34210526315789475,228,rolling,2013-01
-0.2612467769782715,-0.28442160616887746,-1.353743895111369,-0.2738379142148799,0.40789473684210525,228,expanding,2013-01
-0.40448725931571294,-0.43610871930653516,-2.616019274264523,-0.4107577332304786,0.45614035087719296,228,rolling,2014-01
-0.29622328698821887,-0.32177248053550034,-1.724980874846463,-0.4038796988774197,0.4517543859649123,228,expanding,2014-01
-0.3670031128382468,-0.3967511858074698,-1.9536911204297864,-0.4316418083350774,0.4298245614035088,228,rolling,2015-01
-0.34943096648044414,-0.3782152592649478,-1.8284106031667988,-0.4043186897313272,0.3991228070175439,228,expanding,2015-01
-0.7225383860851888,-0.7575664684616338,-4.478901756096768,-0.725483724566417,0.41228070175438597,228,rolling,2016-01
0.2811614934596214,0.3150146797135591,1.0243906273483894,-0.23459780302016908,0.4824561403508772,228,expanding,2016-01
-0.5126946502240002,-0.6088330430868139,-4.417671036746261,-0.5126946502240002,0.43523316062176165,193,rolling,2017-01
0.616077998325326,0.8714970213370623,3.0782955865496042,-0.1015995604579931,0.6113989637305699,193,expanding,2017-01
