cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,strategy,date
0.19353354044413962,0.2108772302699624,0.85601408116317,-0.1389736477115116,0.51931330472103,233,rolling,2011-01
0.19353354044413962,0.2108772302699624,0.85601408116317,-0.1389736477115116,0.51931330472103,233,expanding,2011-01
0.17610633093279038,0.19357804870920092,0.7453321525376339,-0.2708617119062647,0.5108225108225108,231,rolling,2012-01
0.17610633093279038,0.19357804870920092,0.7453321525376339,-0.2708617119062647,0.5108225108225108,231,expanding,2012-01
0.12213179785420802,0.13272555787307616,0.6258058045249097,-0.30626370889938376,0.5107296137339056,233,rolling,2013-01
0.8161748689718547,0.9067365435892851,2.7617874456066502,-0.16378585905188742,0.5793991416309013,233,expanding,2013-01
-0.3898558611123527,-0.4139488553069586,-2.5833548078854913,-0.4309622924851747,0.44635193133047213,233,rolling,2014-01
-0.22548516951220599,-0.24145620355417896,-1.2736697512836206,-0.3046079224803854,0.47639484978540775,233,expanding,2014-01
-0.08619601478676364,-0.09288821969194205,-0.25609823456622766,-0.2184757688354806,0.4721030042918455,233,rolling,2015-01
-0.12172685015267737,-0.1309737831139589,-0.42480089250841657,-0.2354913726797605,0.51931330472103,233,expanding,2015-01
0.1284845003354862,0.13966275487460478,0.7307810469716676,-0.1891336405529953,0.51931330472103,233,rolling,2016-01
0.2278245134049257,0.2485470851359164,1.1697846462941333,-0.1891336405529953,0.5278969957081545,233,expanding,2016-01
0.539368311403227,0.7315536922530554,3.0919263688371146,-0.08228312737061054,0.5707070707070707,198,rolling,2017-01
-0.338763563748232,-0.40930516940288286,-2.7683151622887983,-0.34487599186080187,0.4444444444444444,198,expanding,2017-01
