model,sharpe_ratio,f1_score,precision,recall,accuracy,cumulative_return,annualized_return,max_drawdown,win_rate
deep_rnn,-0.5621320480023986,0.37709945455941685,0.5168753246175403,0.3772954692157788,0.5009646794432977,0.014214846994680386,0.015489897444054573,-0.3099205398404744,0.4768528467069474
logistic,-0.5930995429707416,0.4022692325549547,0.47495434365332767,0.45825097359834654,0.501193866214609,0.04584630874604859,0.04640196875267199,-0.3146608637489125,0.47330101797476903
svm,-0.6860190946801571,0.41573135123677846,0.4509645290822985,0.46316952024966734,0.5028704243227514,-0.0009672817994638554,-9.5739555503043e-05,-0.31771724466811324,0.4727024434483556
rf,-1.3617819973831071,0.3646658418131452,0.5151141486623673,0.3589871545664915,0.5050581867395461,-0.21997695850431678,-0.22327481007479072,-0.3594961772132649,0.456285975052318
attention_lstm,-2.39171295475605,0.43178231204061907,0.5119684878624767,0.45275794945140496,0.49881826665978907,-0.3432066590139248,-0.34523083136200877,-0.45446984111606714,0.4279535891107503
lstm,-2.490759574377932,0.41533204983675387,0.5158748927237535,0.4196277173702312,0.4993749771304658,-0.3567477436700044,-0.3604626538166922,-0.46092282484440716,0.4239538903270686
